File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
AboutBlock.java,1,1,1,1,10,0,10,0,1,0,0,2,2,2,1,2,1,0,1,0,56,7,32,15,16,17,15,18,13,5,1,1,1,1,0,0.53,2,2,2,2,0,2,0,1,5
AboutPage.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,2,0,32,5,10,5,2,17,4,7,5,2,1,1,1,1,0,1.7,2,2,2,2,0,1,0,0,1
AbstractBondedFSContract.java,1,1,1,1,7,0,5,1,1,0,2,7,7,7,3,7,0,0,2,5,115,15,58,28,23,42,29,39,23,16,4,4,4,1,2,0.72,10,10,10,7,0,1,0,0,1
AbstractClusterStory.java,3,3,3,1,12,0,11,0,1,0,0,10,10,10,6,10,0,0,3,7,184,19,143,50,80,22,79,113,48,65,8,8,8,1,4,0.15,30,30,31,10,0,1,0,0,4
AbstractContractAppendTest.java,1,1,1,1,12,0,10,1,1,0,1,6,6,6,2,6,0,0,0,6,128,14,87,44,51,27,52,62,34,28,2,2,2,1,1,0.31,8,8,8,6,0,1,0,1,1
AbstractContractConcatTest.java,1,1,1,1,11,0,10,0,1,0,1,5,5,5,4,5,0,0,0,5,112,15,73,30,38,24,40,49,24,25,2,2,2,1,1,0.33,8,8,8,5,0,1,0,0,1
AbstractContractCreateTest.java,3,3,3,1,22,0,19,2,1,0,0,6,6,6,0,6,0,0,0,6,187,13,139,45,95,35,74,90,38,52,7,7,8,1,3,0.25,19,19,20,6,0,1,0,0,1
AbstractContractDeleteTest.java,1,1,1,1,9,0,9,0,1,0,0,8,8,8,0,8,0,0,0,8,124,14,88,35,55,22,46,56,26,30,2,2,2,1,1,0.25,9,9,9,8,27,2,0,1,2
AbstractContractMkdirTest.java,2,2,2,1,17,0,15,1,1,0,0,5,5,5,0,5,0,0,0,5,134,14,93,38,65,27,61,68,31,37,4,4,4,1,1,0.29,11,11,11,5,19,2,0,1,2
AbstractContractOpenTest.java,1,1,1,1,13,0,12,1,1,0,0,8,8,8,1,8,0,0,1,7,167,17,121,49,77,30,79,91,41,50,3,3,3,1,1,0.25,12,12,12,8,0,2,0,0,2
AbstractContractRenameTest.java,2,2,3,1,29,1,25,2,1,0,0,6,6,6,0,6,0,0,0,6,226,19,170,64,129,37,100,116,55,61,5,5,6,1,3,0.22,17,17,18,6,41,2,0,0,2
AbstractContractRootDirectoryTest.java,1,1,1,1,11,0,10,0,1,0,1,6,6,6,0,6,0,0,0,6,123,12,84,37,51,27,53,62,30,32,2,2,2,1,1,0.32,9,9,9,6,0,1,0,0,1
AbstractContractSeekTest.java,2,2,2,1,20,0,16,3,1,0,2,13,13,13,4,13,0,0,1,12,348,27,253,86,175,68,171,199,73,126,7,7,7,1,2,0.27,29,29,29,13,0,1,0,0,1
AbstractCounter.java,1,1,2,1,5,0,5,0,1,0,0,3,3,3,0,3,0,0,0,3,52,6,25,13,8,21,8,14,9,5,2,2,4,1,1,0.84,4,4,6,3,0,1,0,0,3
AbstractCounterGroup.java,1,1,1,1,6,0,5,0,1,0,0,18,20,20,4,20,0,2,2,16,211,26,144,73,56,41,68,97,53,44,3,3,3,1,2,0.28,26,26,27,18,0,1,0,0,6
AbstractCounters.java,2,2,2,1,12,0,8,3,2,0,2,22,20,22,8,22,0,0,0,22,391,34,252,101,135,109,121,176,87,89,6,6,6,1,2,0.43,52,51,52,22,0,1,0,0,15
AbstractCSQueue.java,1,1,1,1,8,0,6,1,1,0,0,35,35,35,20,35,3,1,4,27,426,68,299,127,136,59,133,183,94,89,7,7,12,3,4,0.2,49,49,56,37,378,1,0,13,11
AbstractDelegationTokenIdentifier.java,1,1,1,1,6,0,6,0,1,1,1,24,25,24,7,25,1,0,1,23,241,32,187,64,92,22,85,122,53,69,4,4,9,3,2,0.12,37,37,46,26,0,1,2,0,17
