File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors,CatchAndDoNothing_AntiPattern,CatchAndReturnNull_AntiPattern,CatchQuantity,CatchRecoverability_AntiPattern,CatchSizeLOC,CatchSizeSLOC,DummyCatch_AntiPattern,IncompleteImplementation_AntiPattern,LogAndThrow_AntiPattern,OverCatch_AntiPattern,ThrowKitchenSink_AntiPattern
ACCESS3Request.java,1,1,1,1,3,0,3,0,1,1,0,3,3,2,0,3,0,0,0,3,42,5,17,10,4,20,8,12,9,3,1,1,1,1,0,1.18,3,3,3,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1674
ACCESS3Response.java,1,1,1,1,7,0,7,0,1,1,0,4,4,3,2,4,0,0,0,4,70,7,39,16,19,24,23,30,15,15,2,2,2,1,1,0.62,6,6,6,4,0,4,1,0,4,0,0,0,0,0,0,0,0,0,5,1674
AccessPrivilege.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,3,2,0,0,0,2,24,1,6,5,0,17,2,2,2,0,1,1,1,1,0,2.83,2,2,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1674
AccessToken.java,1,1,1,1,6,0,3,2,1,0,0,7,7,7,3,7,0,0,0,7,107,11,34,15,11,62,12,20,13,7,1,1,1,1,0,1.82,7,7,7,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1675
AltKerberosAuthenticationHandler.java,2,2,2,1,19,0,9,9,1,0,3,4,5,5,1,5,0,0,1,4,149,11,62,30,25,76,29,40,22,18,4,4,4,4,2,1.23,9,9,9,7,11,3,0,0,3,0,0,0,0,0,0,0,0,0,1,13
AMSimulator.java,1,1,1,1,13,0,11,1,4,0,1,20,23,23,18,23,0,3,7,13,386,36,300,149,156,51,179,211,120,91,6,6,6,1,2,0.17,30,30,30,20,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1790
ApiKeyAuthenticationRequest.java,1,1,1,1,6,0,3,2,1,0,0,4,4,4,1,4,0,0,0,4,66,7,22,10,7,37,8,13,8,5,1,1,1,1,0,1.68,4,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
ApiKeyCredentials.java,1,1,1,1,6,0,3,2,1,0,0,7,7,7,2,7,0,0,0,7,87,11,29,12,9,47,10,18,11,7,2,2,2,1,0,1.62,8,8,8,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
AuthenticatedURL.java,2,2,2,1,12,0,6,6,2,4,3,14,14,10,3,14,1,0,1,12,279,25,114,38,56,140,47,78,37,41,7,7,9,1,5,1.23,29,29,32,14,13,1,0,4,8,0,0,1,0,1,0,0,0,0,1,11
AuthenticationException.java,1,1,1,1,8,0,3,5,1,0,1,3,3,3,0,3,0,0,0,3,50,5,13,6,4,32,5,9,6,3,1,1,1,1,0,2.46,3,3,3,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6
AuthenticationFilter.java,3,3,3,1,20,0,13,5,2,2,10,21,21,19,7,21,0,0,13,8,631,47,333,107,204,252,156,220,93,127,14,14,19,4,4,0.76,64,64,74,24,189,1,4,5,20,0,0,6,0,10,2,1,0,0,1,17
AuthenticationHandler.java,0,0,0,0,0,0,0,0,1,0,1,0,5,5,0,5,0,0,0,5,117,11,19,18,1,87,13,14,14,0,0,0,0,0,0,4.58,0,0,0,0,24,1,0,0,6,0,0,0,0,0,0,1,0,0,1,17
AuthenticationRequest.java,1,1,1,1,4,0,3,1,1,0,0,4,4,4,1,4,0,0,0,4,57,7,18,8,5,32,5,10,7,3,1,1,1,1,0,1.78,4,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
AuthenticationRequestWrapper.java,1,1,1,1,5,0,2,3,1,0,0,4,4,4,1,4,0,0,0,4,59,6,15,7,3,38,5,10,7,3,1,1,1,1,0,2.53,4,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
AuthenticationResponse.java,1,1,1,1,3,0,3,0,1,0,0,8,8,8,4,8,0,0,0,8,69,12,35,18,8,22,17,26,18,8,1,1,1,1,0,0.63,8,8,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
AuthenticationToken.java,1,1,1,1,8,0,3,4,1,1,1,6,6,5,0,6,0,2,0,4,94,11,29,13,9,54,13,21,13,8,2,2,2,1,1,1.86,7,7,7,6,164,1,0,1,7,0,0,0,0,0,0,1,0,0,1,17
AuthenticationWrapper.java,1,1,1,1,6,0,3,3,1,0,0,2,2,2,1,2,0,0,0,2,47,5,10,5,2,32,4,7,5,2,1,1,1,1,0,3.2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
Authenticator.java,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,2,47,6,7,6,0,34,5,6,6,0,0,0,0,0,0,4.86,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,6
Block.java,1,1,1,1,3.5,0,3,0,1.5,3.5,2.5,18,18,14.5,2.5,18,1,0,0,17,148,22,91.5,38.5,39.5,38.5,38,59.5,31.5,28,2,2,3,2,0.5,0.615,23,23,24,20,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,58
CapacitySchedulerMetrics.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,0,2,0,0,0,2,36,5,14,9,2,17,5,8,6,2,1,1,1,1,0,1.21,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,6,0,0,1,1793
Catalog.java,1,1,1,1,6,0,3,3,1,0,0,8,8,8,4,8,0,0,0,8,107,14,34,17,8,59,15,24,16,8,1,1,1,1,0,1.74,8,8,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
