 .gitignore                                         |     1 -
 BUILDING.txt                                       |    76 +-
 dev-support/create-release.sh                      |     6 -
 dev-support/determine-flaky-tests-hadoop.py        |   204 -
 dev-support/test-patch.sh                          |     1 +
 hadoop-assemblies/pom.xml                          |     8 +-
 hadoop-client/pom.xml                              |    34 +-
 hadoop-common-project/hadoop-annotations/pom.xml   |    18 +-
 .../hadoop/classification/InterfaceAudience.java   |    18 -
 .../hadoop/classification/InterfaceStability.java  |    13 +-
 .../classification/tools/StabilityOptions.java     |     5 +-
 hadoop-common-project/hadoop-auth-examples/pom.xml |     4 +-
 .../authentication/examples/WhoClient.java         |     5 +-
 .../dev-support/findbugsExcludeFile.xml            |    10 -
 hadoop-common-project/hadoop-auth/pom.xml          |     4 +-
 .../authentication/client/AuthenticatedURL.java    |    13 +-
 .../authentication/client/Authenticator.java       |     2 +-
 .../client/KerberosAuthenticator.java              |    42 +-
 .../authentication/client/PseudoAuthenticator.java |    10 +-
 .../server/AltKerberosAuthenticationHandler.java   |    11 +-
 .../server/AuthenticationFilter.java               |   189 +-
 .../server/AuthenticationHandler.java              |    24 +-
 .../authentication/server/AuthenticationToken.java |   164 +-
 .../server/KerberosAuthenticationHandler.java      |    13 +-
 .../server/PseudoAuthenticationHandler.java        |    26 +-
 .../security/authentication/util/AuthToken.java    |   218 -
 .../util/FileSignerSecretProvider.java             |    84 -
 .../security/authentication/util/KerberosName.java |     4 +-
 .../security/authentication/util/KerberosUtil.java |    10 +-
 .../util/RandomSignerSecretProvider.java           |     4 +-
 .../security/authentication/util/Signer.java       |     5 +-
 .../util/StringSignerSecretProvider.java           |     9 +-
 .../util/ZKSignerSecretProvider.java               |    11 +-
 .../hadoop-auth/src/site/apt/BuildingIt.apt.vm     |    70 +
 .../hadoop-auth/src/site/apt/Configuration.apt.vm  |   377 +
 .../hadoop-auth/src/site/apt/Examples.apt.vm       |   133 +
 .../hadoop-auth/src/site/apt/index.apt.vm          |    59 +
 .../hadoop-auth/src/site/markdown/BuildingIt.md    |    56 -
 .../hadoop-auth/src/site/markdown/Configuration.md |   341 -
 .../hadoop-auth/src/site/markdown/Examples.md      |   109 -
 .../hadoop-auth/src/site/markdown/index.md         |    43 -
 .../client/TestPseudoAuthenticator.java            |     5 +-
 .../server/TestAuthenticationFilter.java           |   233 +-
 .../server/TestAuthenticationToken.java            |   100 +
 .../server/TestPseudoAuthenticationHandler.java    |     9 +-
 .../util/StringSignerSecretProviderCreator.java    |    33 -
 .../authentication/util/TestAuthToken.java         |   127 -
 .../util/TestFileSignerSecretProvider.java         |    51 -
 .../authentication/util/TestKerberosUtil.java      |    14 +-
 hadoop-common-project/hadoop-common/CHANGES.txt    |   758 +-
 .../hadoop-common/dev-support/checkstyle.xml       |     1 +
 .../dev-support/findbugsExcludeFile.xml            |    16 -
 .../jdiff/Apache_Hadoop_Common_2.6.0.xml           | 45596 -------------------
 .../hadoop-common/dev-support/jdiff/Null.java      |    20 -
 hadoop-common-project/hadoop-common/pom.xml        |    39 +-
 .../hadoop-common/src/CMakeLists.txt               |    10 +-
